time;latitude;longitude
2023-12-03 19:01:28.589118;32.9812;-87.8162
2023-12-03 19:01:34.093649;33.1989;-87.5505
2023-12-03 19:01:39.461670;33.4377;-87.2568
2023-12-03 19:01:44.892512;33.6757;-86.9610
